cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,6,0,2534500.0,"100000003747133100,100000005075949100,100000004722765100,100000002578653100,100000006527156100",Кластер с преобладающей ролью peripheral
1,150,1,5518694.0,"100000002527114100,100000002733905100,100000001166289100,100000005342513100,100000001697501100",Кластер с преобладающей ролью terminal
2,2,1,30000.0,"100000003980083100,100000003200071100",Кластер с преобладающей ролью peripheral
3,39,1,2080148.0,"100000004692798100,100000000831684100,100000004386258100,100000003265158100,100000008680731100",Кластер с преобладающей ролью terminal
4,6,1,275885.0,"100000005895525100,100000002462183100,100000007175718100,100000005056870100,100000005807278100",Кластер с преобладающей ролью terminal
5,3,0,627870.0,"100000004666651100,100000005664632100,100000008628231100",Кластер с преобладающей ролью terminal
6,4,2,1499679.0,"100000008418835100,100000008730021100,100000008701944100,100000004269433100",Кластер с преобладающей ролью peripheral
7,7,3,4442461.0,"100000001732159100,100000003404627100,100000008637537100,100000008314203100,100000005940652100",Кластер с преобладающей ролью peripheral
8,13,0,6748650.0,"100000008258083100,100000000673868100,100000007442518100,100000001785161100,100000000821507100",Кластер с преобладающей ролью terminal
9,4,1,1404980.0,"100000008601794100,100000001872484100,100000000785800100,100000002459163100",Кластер с преобладающей ролью coordinator
10,41,1,3833687.28,"100000000076451100,100000004156082100,100000003159641100,100000007131370100,100000002575080100",Кластер с преобладающей ролью terminal
11,134,1,26049950.33,"100000000331309100,100000008324800100,100000007390016100,100000000332284100,100000003741418100",Кластер с преобладающей ролью peripheral
12,6,1,1615030.0,"100000008659445100,100000008736940100,100000008751429100,100000008193577100,100000005456919100",Кластер с преобладающей ролью coordinator
13,10,0,322010.0,"100000008172352100,100000004552204100,100000007322059100,100000000993112100,100000002691858100",Кластер с преобладающей ролью terminal
14,4,1,79050.0,"100000001852140100,100000003148220100,100000004971871100,100000006888238100",Кластер с преобладающей ролью peripheral
15,21,13,1976116.0,"100000005382566100,100000004041163100,100000008516839100,100000005668605100,100000005523088100",Кластер с преобладающей ролью peripheral
16,129,7,19116442.28,"100000003016635100,100000000706545100,100000006901046100,100000005339662100,100000003886323100",Кластер с преобладающей ролью terminal
17,3,1,450816.0,"100000005034574100,100000007283257100,100000004388983100",Кластер с преобладающей ролью terminal
18,2,1,81465.0,"100000003865939100,100000005392290100",Кластер с преобладающей ролью peripheral
19,5,2,108007.0,"100000006562026100,100000007347733100,100000008129393100,100000006249740100,100000006831291100",Кластер с преобладающей ролью terminal
20,6,1,1527967.0,"100000000580561100,100000005183943100,100000007939160100,100000007930878100,100000000955444100",Кластер с преобладающей ролью peripheral
21,4,0,518000.0,"100000003163886100,100000000629812100,100000002205022100,100000001380107100",Кластер с преобладающей ролью terminal
22,5,1,2809200.0,"100000004135268100,100000008571433100,100000004979498100,100000002738256100,100000007507343100",Кластер с преобладающей ролью coordinator
23,3,1,450000.0,"100000000769919100,100000002371751100,100000007018630100",Кластер с преобладающей ролью peripheral
24,89,3,15371952.61,"100000001677929100,100000002394199100,100000002838861100,100000006443391100,100000006385877100",Кластер с преобладающей ролью terminal
25,3,1,390167.62,"100000002781227100,100000002796853100,100000008522127100",Кластер с преобладающей ролью coordinator
26,5,0,1138730.0,"100000007330432100,100000003692843100,100000003321895100,100000008430691100,100000002371892100",Кластер с преобладающей ролью peripheral
